login;birthday
W2101N6806;20.04.1988
W2101N6809;25.03.1983
W2101N6819;18.03.1975
W2101N6836;18.11.1988
W2101N6857;22.06.1983
W2101N6878;10.08.1998
W2101N7014;08.05.1996
W2101N7015;10.10.1997
W2101N7016;04.08.1984
W2101N7029;26.11.1986
W2101N7074;02.06.1977
W2101N7075;25.03.1980
W2101N7076;20.03.1973
W2101N7102;31.05.1981
W2101N7105;02.08.1989
W2101N7111;14.06.1993
W2101N7138;08.06.1996
W2101N7144;14.06.1984
W2101N7148;12.02.1991
W2101N7166;05.08.1997
W2101N7172;02.10.1976
W2101N7217;04.08.1992
W2101N7219;21.04.1987
W2101N7221;30.01.1983
W2101N7222;12.02.1975
W2101N7292;21.08.1988
W2101N7314;30.06.1990
W2101N7324;04.11.1988
W2101N7399;27.11.1983
W2101N7406;24.02.1971
W2101N7412;27.07.1978
W2101N7413;07.06.1995
W2101N7431;18.04.1986
W2101N7470;05.01.1989
W2101N7484;08.03.1985
W2101N7485;31.10.1987
W2101N7504;21.02.1990
W2101N7557;19.06.1987
W2101N7559;07.01.1984
W2101N7579;15.12.1993
W2101N7589;17.10.1984
W2101N7600;18.09.1983
W2101N7630;05.12.1979
W2101N7636;05.08.1996
W2101N7640;15.11.1999
W2101N7660;08.03.1994
W2101N7706;23.12.1985
W2101N7753;25.09.1987
W2101N7754;25.09.1987
W2101N7755;02.11.1979
W2101N7802;05.07.2002
W2101N7803;15.01.1993
W2101N7841;19.09.1986
W2101N7853;21.09.1995
W2101N7929;27.11.1990
W2101N7944;04.05.1979
W2101N7948;09.06.1992
W2101N8079;25.04.1986
W2101N8083;08.08.2000
W2101N8090;29.09.2002
W2101N8126;25.04.1983
W2101N8156;20.02.1994
W2101N8182;01.12.2001
W2101N8183;14.11.1989
W2101N8223;04.03.1985
W2101N8236;30.07.1982
W2101N8278;08.10.2003
W2101N8333;23.07.1967
W2101N8334;11.07.1988
W2101N8336;10.01.1994
W2101N8345;24.06.1982
W2101N8365;07.09.1980
W2101N8424;27.01.1980
W2101N8425;29.06.1977
W2101N8426;05.12.1978
W2101N8427;30.11.1980
W2101N8428;19.05.1969
W2101N8447;24.10.1989
W2101N8448;12.01.1975
W2101N8452;04.06.1979
W2101N8461;10.04.1978
W2101N8674;19.08.1988
W2101N8858;18.01.1988
W2101N8859;25.04.1991
W2101N8863;17.04.1991
W2101N8940;03.12.1989
W2101N9076;07.08.1989
W2101N9078;14.12.1986
W2101N9079;11.07.2002
W2101N9087;29.11.1990
W2101N9143;05.01.1991
W2101N9155;06.02.1993
W2101N9167;28.02.1980
W2101N9317;02.10.1971
W2101N9342;22.07.1996
W2101N9498;24.06.1998
W2101N9586;21.05.1990
W21667;16.10.1983 23:00
W2201N10013;22.04.1992
W2201N10105;15.05.1973
W2201N10140;27.02.1962
W2201N10144;07.11.1981
W2201N10245;06.07.1990
W2201N10285;31.01.1975
W2201N10293;12.06.1989
W2201N10362;23.04.1985
W2201N10389;10.05.1995
W2201N10456;09.08.1976
W2201N10515;07.09.1981
W2201N10570;22.01.1994
W2201N10640;28.05.1975
W2201N10643;01.06.1999
W2201N10691;25.08.1988
W2201N10704;09.07.1991
W2201N10753;07.09.1990
W2201N10817;07.09.1997
W2201N10818;26.06.1986
W2201N10905;24.01.1991
W2201N10908;09.04.1992
W2201N10939;26.08.1984
W2201N10957;14.09.1979
W2201N11014;25.10.1979
W2201N11018;08.01.1985
W2201N11071;04.12.1990
W2201N11107;21.08.1985
W2201N11197;02.07.1979
W2201N1126;09.09.1986 23:00
W2201N11305;31.05.1964
W2201N11347;20.09.1978
W2201N11353;28.11.1990
W2201N1138;18.07.1982 23:00
W2201N11401;22.10.1979
W2201N11456;23.02.1991
W2201N11462;27.03.1978
W2201N11465;07.07.1992
W2201N11477;03.03.1995
W2201N11478;09.09.1993
W2201N11533;29.04.1992
W2201N11548;09.10.1973
W2201N11553;26.01.1973
W2201N11660;01.12.1980
W2201N11714;05.07.1985
W2201N11752;13.09.1990
W2201N11754;28.01.1971
W2201N11809;20.08.1986
W2201N11818;04.10.1988
W2201N11819;25.05.1990
W2201N11897;29.01.1984
W2201N11989;27.05.1994
W2201N12003;14.12.1988
W2201N12065;16.10.1988
W2201N12085;27.04.1968
W2201N12136;26.06.1987
W2201N12144;23.04.1994
W2201N12174;27.05.1984
W2201N12184;07.12.1992
W2201N12252;13.09.1989
W2201N12253;14.12.1996
W2201N12292;21.03.1996
W2201N12311;11.03.1980
W2201N12350;07.12.1992
W2201N12466;06.11.1993
W2201N12671;21.03.1979
W2201N12682;23.09.1973
W2201N12734;26.05.1972
W2201N12739;17.04.1996
W2201N12783;29.07.1985
W2201N12844;04.05.1993
W2201N12859;19.05.1987
W2201N12902;07.04.1977
W2201N13071;23.08.1987
W2201N13072;17.01.1984
W2201N1309;01.09.1981
W2201N13144;27.09.1996
W2201N13172;13.02.1984
W2201N13274;11.05.1989
W2201N13328;14.07.1979
W2201N13430;16.02.1979
W2201N13464;24.05.1983
W2201N13502;05.05.1991
W2201N13545;16.10.1982
W2201N13546;05.04.1978
W2201N13619;01.06.1982
W2201N13670;08.10.1983
W2201N13671;19.05.1972
W2201N13696;08.07.1989
W2201N13732;03.06.1996
W2201N13743;22.09.1992
W2201N13806;16.10.1982
W2201N13814;30.11.1983
W2201N13816;24.08.1980
W2201N13884;26.01.1987
W2201N13886;28.04.1970
W2201N1392;12.09.1976 23:00
W2201N13944;25.08.1982
W2201N13965;26.12.1983
W2201N13966;13.06.1978
W2201N13973;13.02.1970
W2201N14010;26.12.1978
W2201N14037;29.03.1997
W2201N14080;24.04.1997
W2201N14097;06.08.1969
W2201N14098;22.05.1998
W2201N14102;31.12.1980
W2201N14197;07.09.1995
W2201N14257;02.09.1984
W2201N14304;07.06.1967
W2201N14353;25.11.1970
W2201N14436;16.09.1999
W2201N14451;21.10.1977
W2201N14465;25.10.1958
W2201N14572;04.12.1987
W2201N14579;07.07.1979
W2201N14583;04.01.1982
W2201N14598;11.01.1977
W2201N14634;21.11.1990
W2201N14741;06.06.1977
W2201N14756;03.10.1999
W2201N14818;18.01.1993
W2201N14820;09.03.1981
W2201N14874;19.09.1962
W2201N15006;16.11.1994
W2201N15079;08.10.1977
W2201N15108;15.08.1994
W2201N15120;17.08.1981
W2201N15145;11.07.1977
W2201N15146;12.07.1978
W2201N15157;11.04.1991
W2201N15178;14.02.1988
W2201N15247;11.02.1971
W2201N15279;07.12.1979
W2201N15300;07.12.1975
W2201N15314;11.07.1976
W2201N15324;24.05.1981
W2201N15348;04.10.1983
W2201N15372;07.05.1976
W2201N15374;14.10.1978
W2201N15386;11.05.1982
W2201N15434;18.03.1982
W2201N15443;21.07.1982
W2201N1547;28.09.1984 23:00
W2201N15525;04.12.1986
W2201N15537;06.11.1985
W2201N15655;01.02.1985
W2201N15682;19.05.1970
W2201N15722;15.09.1982
W2201N15730;13.05.1978
W2201N15789;16.12.1975
W2201N15805;03.12.1972
W2201N15807;25.08.1997
W2201N15809;04.08.1992
W2201N15810;02.01.1970
W2201N15813;11.11.1984
W2201N15834;02.06.1968
W2201N15846;07.09.1993
W2201N15851;18.07.1975
W2201N15852;19.11.1987
W2201N15875;22.06.1992
W2201N15876;29.04.1975
W2201N15877;27.04.1976
W2201N15878;25.05.1985
W2201N15881;30.04.1987
W2201N15887;30.04.1980
W2201N15889;09.04.1975
W2201N15898;29.05.1997
W2201N15902;07.06.2000
W2201N15903;21.12.1999
W2201N15919;24.06.1990
W2201N15952;09.04.1981
W2201N15979;23.01.1985
W2201N15993;30.05.1988
W2201N15994;23.07.1988
W2201N16000;28.11.1985
W2201N16024;23.06.1992
W2201N16041;27.06.1984
W2201N16048;14.05.2000
W2201N16103;18.12.1980
W2201N16145;15.04.1990
W2201N16156;19.08.1979
W2201N16163;12.09.1991
W2201N16214;27.12.1991
W2201N16215;09.03.1984
W2201N16237;22.01.1979
W2201N16246;18.11.1976
W2201N16267;12.08.1974
W2201N16281;18.09.1985
W2201N16283;16.04.1978
W2201N16335;18.04.1984
W2201N16337;03.12.1995
W2201N16338;06.03.2001
W2201N16370;06.04.1972
W2201N16371;26.08.1977
W2201N16381;09.11.1967
W2201N16419;21.01.1965
W2201N16436;16.06.2000
W2201N16474;28.04.1981
W2201N16475;05.10.1977
W2201N16487;29.01.1999
W2201N16549;08.01.1973
W2201N16567;10.10.1974
W2201N16573;09.06.1997
W2201N16602;01.09.1981
W2201N16603;26.09.1973
W2201N16604;13.03.1982
W2201N16617;30.07.2000
W2201N16640;15.12.1980
W2201N16643;04.04.1960
W2201N16644;04.11.1971
W2201N16645;20.03.1994
W2201N16679;12.09.1977
W2201N16686;04.05.1976
W2201N16728;02.02.1970
W2201N16775;01.12.1987
W2201N16776;31.01.1995
W2201N16783;23.06.1984
W2201N16789;01.01.1981
W2201N16829;09.11.1982
W2201N16837;07.04.1994
W2201N16850;28.12.1969
W2201N16878;04.07.1997
W2201N16879;25.04.1980
W2201N16890;28.06.1986
W2201N16909;25.04.1984
W2201N16927;30.06.1998
W2201N16928;01.07.1990
W2201N16941;16.02.1981
W2201N16955;13.06.1982
W2201N16973;17.03.1986
W2201N16999;18.07.1979
W2201N17000;13.07.1982
W2201N17002;07.05.1975
W2201N17016;14.08.1980
W2201N17023;04.10.1987
W2201N17026;14.05.1988
W2201N17058;20.04.1981
W2201N17069;25.12.1990
W2201N17078;05.07.1978
W2201N17092;14.11.1996
W2201N17104;02.03.2003
W2201N17106;30.01.1988
W2201N17107;28.11.1986
W2201N17112;15.11.1988
W2201N17120;30.01.1987
W2201N17129;08.03.1999
W2201N17131;24.07.2001
W2201N17146;18.05.1983
W2201N17162;21.05.1983
W2201N17171;25.05.1988
W2201N17181;26.04.1989
W2201N17187;19.06.1983
W2201N17200;18.04.1985
W2201N17201;10.06.1987
W2201N17202;06.08.1984
W2201N17232;22.06.1980
W2201N17233;03.04.1982
W2201N17234;27.04.1980
W2201N17246;09.12.1984
W2201N17248;10.03.1977
W2201N17249;30.07.1989
W2201N17267;16.07.1984
W2201N17298;21.06.1973
W2201N17299;14.04.1973
W2201N17300;04.11.1990
W2201N17306;19.03.1980
W2201N17308;23.05.1980
W2201N17310;14.01.1976
W2201N17311;11.07.1982
W2201N17313;30.06.2000
W2201N17314;07.09.1999
W2201N17315;22.07.2000
W2201N17317;11.10.1993
W2201N17318;05.09.1993
W2201N17322;21.02.1992
W2201N17323;16.11.1985
W2201N17325;08.11.1996
W2201N17329;28.08.1986
W2201N17330;11.06.1975
W2201N17331;02.09.1977
W2201N17332;12.01.1990
W2201N17333;15.06.1973
W2201N17340;10.06.1976
W2201N17345;12.03.1981
W2201N17346;23.08.1986
W2201N17347;08.12.1983
W2201N17349;24.08.1980
W2201N17354;23.05.1974
W2201N17355;28.12.1985
W2201N17370;06.05.1985
W2201N17374;05.02.1983
W2201N17375;01.05.1982
W2201N17376;17.02.1996
W2201N17378;24.03.1996
W2201N17379;15.12.1999
W2201N17380;11.11.1990
W2201N17381;12.03.1995
W2201N17407;30.01.1990
W2201N17411;11.08.1992
W2201N17412;25.10.1996
W2201N17440;09.03.2001
W2201N17441;22.09.1991
W2201N17458;28.03.1996
W2201N17462;10.02.1992
W2201N17469;09.05.1978
W2201N17470;04.08.1985
W2201N17471;18.07.1983
W2201N17473;04.10.1992
W2201N17474;16.06.1993
W2201N17534;16.05.1968
W2201N17535;04.08.1987
W2201N17561;08.02.1983
W2201N17570;10.03.1989
W2201N17587;10.06.1977
W2201N17591;15.01.1987
W2201N17593;10.08.1998
W2201N17601;22.02.1969
W2201N17602;30.03.1989
W2201N17660;21.09.1986
W2201N17675;31.12.1995
W2201N17695;08.07.1997
W2201N17696;29.03.2001
W2201N17703;23.06.1978
W2201N17704;22.08.1991
W2201N17705;26.11.1986
W2201N17706;26.12.1968
W2201N17707;02.09.1979
W2201N17708;03.06.1986
W2201N17716;14.03.1984
W2201N17725;20.12.1983
W2201N17727;13.06.1991
W2201N17731;26.12.1988
W2201N17744;26.04.1967
W2201N17757;02.09.1990
W2201N17758;16.12.1988
W2201N17760;13.07.2001
W2201N17772;20.11.2002
W2201N17781;24.06.1990
W2201N17817;12.01.1988
W2201N17818;21.02.2003
W2201N17847;11.12.1995
W2201N17852;09.12.1996
W2201N17853;28.09.1980
W2201N17854;19.01.1982
W2201N17857;03.08.1988
W2201N17860;02.09.1977
W2201N17867;05.12.1999
W2201N17878;31.07.2002
W2201N17879;13.03.2001
W2201N17896;09.06.1998
W2201N17897;15.04.1993
W2201N17898;19.11.1962
W2201N17912;16.03.1978
W2201N17913;16.04.1972
W2201N17918;12.09.1986
W2201N17919;07.10.1969
W2201N17928;30.05.1995
W2201N17929;13.04.1997
W2201N17947;18.05.1993
W2201N17948;14.11.1986
W2201N17950;18.05.2001
W2201N17962;15.04.1983
W2201N17964;07.10.1993
W2201N17965;21.02.1986
W2201N17967;29.03.1969
W2201N17969;09.11.1987
W2201N17989;11.08.1976
W2201N17990;24.01.1997
W2201N18003;03.03.1989
W2201N18004;28.11.2002
W2201N18012;14.01.1999
W2201N18013;08.03.1980
W2201N18014;23.01.1972
W2201N18015;19.04.1983
W2201N18028;12.02.1981
W2201N18030;15.12.1993
W2201N18041;30.06.1993
W2201N18042;08.10.1983
W2201N18043;26.03.1986
W2201N18049;24.08.1972
W2201N18050;13.08.1990
W2201N18068;04.12.1981
W2201N18079;23.01.1991
W2201N18080;11.06.1980
W2201N18091;23.06.1968
W2201N18094;22.05.2001
W2201N18095;13.01.2000
W2201N181;21.10.1963
W2201N18105;21.08.1989
W2201N18129;22.02.1993
W2201N18130;17.08.1980
W2201N18143;10.03.1999
W2201N18144;13.08.1984
W2201N18153;24.07.1982
W2201N18154;08.07.1984
W2201N18156;31.03.1995
W2201N18161;12.07.1976
W2201N18162;07.09.1998
W2201N18170;07.12.2001
W2201N18178;02.05.1999
W2201N18203;30.06.1999
W2201N18217;22.06.1976
W2201N18218;27.04.1993
W2201N18226;05.11.1993
W2201N18228;20.03.1982
W2201N18235;14.10.2001
W2201N18238;04.09.1999
W2201N18257;30.06.1987
W2201N18283;24.08.1987
W2201N18287;02.08.2003
W2201N18306;18.02.1977
W2201N18307;10.11.1983
W2201N18312;25.06.1999
W2201N18313;08.07.1997
W2201N18317;13.03.1969
W2201N1832;12.12.1988 23:00
W2201N18330;13.04.1989
W2201N18353;02.10.1983
W2201N18363;06.03.1999
W2201N18369;27.11.1990
W2201N18370;03.03.1991
W2201N18380;15.07.2000
W2201N18392;25.06.1972
W2201N18411;19.08.1976
W2201N18413;13.11.1984
W2201N18426;05.01.1991
W2201N18469;10.07.1987
W2201N18473;26.06.1981
W2201N18474;16.07.1974
W2201N18484;13.11.1991
W2201N18502;02.12.1971
W2201N18506;13.02.1987
W2201N18516;13.04.1984
W2201N18519;10.11.1986
W2201N18531;05.05.1980
W2201N18566;07.09.2001
W2201N18573;03.05.1973
W2201N18579;28.10.1997
W2201N18598;08.01.1994
W2201N18601;22.09.2000
W2201N18670;14.08.2003
W2201N18676;20.01.1985
W2201N18682;14.10.1993
W2201N18684;30.05.1986
W2201N18802;17.01.1997
W2201N18803;24.11.1974
W2201N18868;19.11.1971
W2201N18900;28.09.2001
W2201N18933;23.01.1983
W2201N18934;08.08.1985
W2201N18935;15.07.1980
W2201N18957;06.12.1983
W2201N19002;24.03.1966
W2201N19203;05.12.1963
W2201N19219;31.01.1985
W2201N19220;16.06.1974
W2201N19221;18.01.1963
W2201N19240;02.07.1985
W2201N19243;26.03.1992
W2201N19245;20.11.1984
W2201N19256;31.07.1986
W2201N19257;14.04.1976
W2201N19279;24.07.2000
W2201N19290;22.11.2000
W2201N19359;27.04.1983
W2201N19366;21.11.2001
W2201N19395;02.09.2000
W2201N19397;26.07.1993
W2201N19492;17.01.1993
W2201N19582;18.05.1990
W2201N19583;27.04.2002
W2201N19624;23.08.1972
W2201N19636;27.08.2001
W2201N19637;24.08.1976
W2201N19647;24.12.1996
W2201N19661;10.05.1997
W2201N19666;08.04.1980
W2201N19707;19.07.1984
W2201N19715;15.04.1981
W2201N19716;09.06.1993
W2201N19732;29.05.1993
W2201N19749;24.05.1988
W2201N19750;23.11.1981
W2201N19751;07.05.1974
W2201N19752;13.02.1970
W2201N19753;21.05.1976
W2201N19756;09.01.1996
W2201N19800;30.06.1996
W2201N19813;30.04.1976
W2201N19849;21.03.1986
W2201N19975;12.01.1977
W2201N19976;29.07.1978
W2201N19980;03.06.1991
W2201N19981;23.04.2003
W2201N19982;17.10.2000
W2201N19986;15.11.1991
W2201N19987;11.05.1994
W2201N19998;07.09.1980
W2201N20007;05.05.1983
W2201N20022;13.06.2002
W2201N20027;26.01.1983
W2201N20032;25.01.2003
W2201N20035;19.06.1985
W2201N20062;01.11.1971
W2201N20066;16.09.1998
W2201N20067;15.10.1987
W2201N20068;27.11.1996
W2201N20069;21.02.1995
W2201N20086;28.01.1966
W2201N20087;06.03.1986
W2201N20104;09.08.2001
W2201N20108;21.05.1986
W2201N20122;04.10.1999
W2201N20135;06.03.2001
W2201N20136;16.06.1990
W2201N20162;23.12.1986
W2201N20163;28.07.1985
W2201N20164;15.11.1991
W2201N20165;29.03.2003
W2201N20204;09.12.1990
W2201N20205;26.11.2000
W2201N20215;11.08.1975
W2201N20235;12.04.2001
W2201N20252;04.06.1989
W2201N20301;02.03.1990
W2201N20308;03.02.1961
W2201N20309;04.07.1980
W2201N20330;13.04.2003
W2201N20367;20.10.2000
W2201N20368;21.12.1977
W2201N20399;17.04.2001
W2201N20446;17.03.1993
W2201N20453;07.05.1999
W2201N20489;26.03.1991
W2201N20505;06.06.2000
W2201N20553;13.05.1974
W2201N20554;18.03.1993
W2201N20555;06.06.1987
W2201N20588;05.03.1986
W2201N20594;11.03.1989
W2201N20692;21.11.2003
W2201N20705;28.09.1987
W2201N20706;01.07.2002
W2201N20809;01.09.1998
W2201N20861;12.08.1999
W2201N20876;24.08.2001
W2201N20888;04.12.2002
W2201N20892;20.04.1986
W2201N20896;30.12.1998
W2201N20957;30.03.2004
W2201N20988;23.06.2002
W2201N21211;04.06.1988
W2201N21212;08.06.1985
W2201N21377;26.06.1993
W2201N21379;03.10.1983
W2201N21409;08.03.1979
W2201N21417;24.03.1996
W2201N21422;04.12.1993
W2201N2253;12.09.1977 23:00
W2201N2335;07.07.1979 23:00
W2201N2728;03.12.1980
W2201N2767;13.06.1983
W2201N3060;29.11.1989 23:00
W2201N3117;22.04.1982 23:00
W2201N3121;11.02.1971
W2201N3337;26.11.1979
W2201N3352;01.01.1974
W2201N3854;21.05.1981
W2201N4;02.09.1963 23:00
W2201N4028;08.01.1963
W2201N4082;30.08.1980
W2201N4286;02.07.1987 11:00
W2201N4301;18.01.1988
W2201N4522;11.01.1978
W2201N4532;22.06.1972
W2201N4533;16.12.1992
W2201N4569;25.05.1991
W2201N462;18.06.1976 23:00
W2201N4753;27.09.1989 11:00
W2201N476;
W2201N4782;07.09.1991 11:00
W2201N4785;17.09.1987
W2201N4812;02.05.1989 11:00
W2201N493;30.07.1981 23:00
W2201N4994;12.04.1975
W2201N505;15.09.1979
W2201N514;17.02.1980 23:00
W2201N5420;29.03.1976
W2201N5463;14.01.1989
W2201N5807;07.10.1986
W2201N5808;14.11.1980
W2201N5833;11.10.1983
W2201N5898;10.11.1988
W2201N594;29.03.1977 23:00
W2201N6077;18.04.1968
W2201N608;29.03.1979 23:00
W2201N6092;20.10.1980
W2201N6112;11.11.1982
W2201N6157;12.01.1989
W2201N618;03.07.1988 23:00
W2201N627;30.05.1981 23:00
W2201N6278;27.03.1982
W2201N6620;11.02.1993
W2201N6634;21.09.1983
W2201N6672;24.12.1988
W2201N668;05.08.1984
W2201N708;26.03.1981
W2201N7124;21.01.1985
W2201N7158;07.09.1978
W2201N716;23.09.1966 23:00
W2201N7220;09.08.1991
W2201N7287;20.06.1984
W2201N7289;08.05.1984
W2201N7320;06.01.1978
W2201N7468;28.08.1984
W2201N7483;08.03.1983
W2201N7485;11.01.1991
W2201N7487;23.12.1972
W2201N7496;04.07.1980
W2201N7533;23.07.1982
W2201N7535;14.03.1984
W2201N7538;26.12.1982
W2201N7715;10.08.1984
W2201N7931;02.06.1982
W2201N798;01.07.1970
W2201N8076;26.01.1994
W2201N8241;25.04.1972
W2201N8242;26.05.1974
W2201N8277;17.05.1987
W2201N8300;31.03.1981
W2201N8307;21.12.1988
W2201N8348;31.03.1996
W2201N8389;09.11.1989
W2201N8434;21.02.1977
W2201N8514;07.11.1988
W2201N8572;20.09.1962
W2201N8573;26.06.1986
W2201N8659;05.01.1984
W2201N8665;05.10.1969
W2201N8746;28.08.1978
W2201N8785;12.06.1987
W2201N8842;20.04.1980
W2201N8845;30.09.1978
W2201N8848;03.09.1983
W2201N8944;28.02.1975
W2201N9021;01.06.1996
W2201N9035;10.02.1982
W2201N9053;15.01.1979
W2201N9054;17.11.1988
W2201N9055;31.01.1963
W2201N9101;14.12.1990
W2201N9140;17.10.1992
W2201N9142;18.12.1975
W2201N9160;23.04.1976
W2201N9396;01.11.1972
W2201N9685;19.09.1988
W2201N9701;08.06.1986
W2201N9706;14.07.1992
W2201N9729;09.01.1976
W2201N9953;08.12.1975
W2201N9957;20.10.1985
W2201N9981;07.05.1976
W22945;
W2301N10082;29.07.1981
W2301N10129;13.04.1984
W2301N10171;20.10.1988
W2301N10186;20.11.1986
W2301N10222;01.06.1990
W2301N1025;27.12.1973
W2301N10256;06.09.1991
W2301N10263;07.11.1984
W2301N10398;24.11.1998
W2301N10430;29.11.1988
W2301N10963;11.02.1988
W2301N11158;29.04.1985
W2301N11443;04.08.1985
W2301N11449;31.08.1980
W2301N11476;03.08.1997
W2301N11522;01.08.1982
W2301N11557;15.01.1987
W2301N11748;22.12.1993
W2301N11830;20.03.1995
W2301N11888;13.06.1988
W2301N11918;29.12.1982
W2301N11921;12.08.1990
W2301N11924;18.01.1987
W2301N12032;22.10.1993
W2301N12060;09.12.1976
W2301N12099;20.02.1977
W2301N12204;09.04.1984
W2301N12226;24.08.1974
W2301N12284;24.04.1974
W2301N12322;22.03.1993
W2301N12376;13.02.1978
W2301N12426;02.03.1991
W2301N12500;10.09.1981
W2301N12517;11.07.1995
W2301N12518;07.07.1989
W2301N12535;11.01.1982
W2301N12596;08.12.1986
W2301N12715;13.03.1977
W2301N12760;01.01.1990
W2301N12799;20.07.1979
W2301N13019;11.05.1978
W2301N13034;27.07.1979
W2301N13069;22.11.1991
W2301N13194;06.08.1985
W2301N13195;29.05.1990
W2301N13211;21.04.1967
W2301N13256;17.02.1991
W2301N13259;09.08.1970
W2301N13263;27.11.1983
W2301N13308;28.02.1984
W2301N13353;19.08.1995
W2301N13439;06.10.1983
W2301N13477;08.09.1995
W2301N13627;04.10.1993
W2301N14140;02.06.1973
W2301N14143;13.11.1996
W2301N14146;27.06.1999
W2301N14163;29.12.1986
W2301N14202;02.12.1982
W2301N14242;28.06.1997
W2301N14275;31.07.1991
W2301N14282;02.03.1990
W2301N14329;04.09.1994
W2301N14370;14.12.1999
W2301N14376;22.12.1995
W2301N14657;10.08.1987
W2301N14676;20.09.1982
W2301N14975;26.04.1979
W2301N15053;16.07.1994
W2301N15126;06.06.1972
W2301N15189;03.06.1990
W2301N15203;15.07.1982
W2301N15204;21.10.1981
W2301N15227;04.05.1963
W2301N15234;28.06.1990
W2301N15676;23.08.1987
W2301N15722;26.09.1990
W2301N15723;23.01.1989
W2301N15791;08.10.1991
W2301N15853;27.05.1986
W2301N15894;19.10.1985
W2301N15949;01.09.1989
W2301N15963;28.06.1973
W2301N16066;01.12.1982
W2301N16075;06.03.1990
W2301N16356;02.06.1968
W2301N16428;24.12.1998
W2301N16575;12.09.1991
W2301N16753;26.06.1996
W2301N16788;24.04.1994
W2301N16840;08.02.1986
W2301N16915;05.08.1981
W2301N16955;25.07.1978
W2301N16958;12.12.1984
W2301N16971;21.12.1965
W2301N17063;18.01.1983
W2301N17255;15.11.1982
W2301N17260;22.04.1991
W2301N17301;06.11.1984
W2301N17304;02.09.1990
W2301N17441;13.05.1988
W2301N17463;29.01.1976
W2301N17472;18.03.1986
W2301N17516;03.09.1984
W2301N17525;04.11.1971
W2301N17528;19.05.1982
W2301N17546;06.07.1987
W2301N17631;11.10.1985
W2301N17836;29.10.1990
W2301N17859;31.07.1988
W2301N17863;29.12.1987
W2301N17887;11.12.1986
W2301N17902;08.12.1992
W2301N17903;15.03.1997
W2301N17904;30.06.1993
W2301N17905;03.05.1996
W2301N17917;31.10.1991
W2301N17918;09.09.1990
W2301N17920;24.02.1987
W2301N17921;30.09.1983
W2301N17922;28.04.1982
W2301N17924;08.09.1992
W2301N17925;01.11.1989
W2301N17943;01.08.1985
W2301N17945;13.10.1987
W2301N17948;01.08.1994
W2301N17952;31.05.1989
W2301N17953;02.10.1994
W2301N17954;16.08.1989
W2301N17968;27.05.1988
W2301N17969;22.10.1990
W2301N17981;15.11.1985
W2301N17983;03.09.1982
W2301N17984;06.08.1990
W2301N17998;05.12.1998
W2301N17999;22.09.1991
W2301N18000;04.04.1997
W2301N18007;12.08.1985
W2301N18009;21.06.1994
W2301N18011;19.11.1992
W2301N18012;06.12.1989
W2301N18013;07.09.1987
W2301N18042;18.09.1983
W2301N18043;18.03.1988
W2301N18071;13.05.1992
W2301N18085;09.12.1978
W2301N18112;27.07.1983
W2301N18113;30.10.1981
W2301N18128;05.10.1981
W2301N18143;30.09.1965
W2301N18150;19.08.1996
W2301N18159;21.08.1983
W2301N18170;17.06.1998
W2301N18191;07.12.1988
W2301N18230;01.06.1995
W2301N18261;20.09.1975
W2301N18267;06.01.1977
W2301N18273;01.05.1996
W2301N18411;25.10.1985
W2301N18425;28.10.1971
W2301N18430;10.07.2001
W2301N18432;05.01.1995
W2301N18437;07.06.1989
W2301N18470;19.05.1992
W2301N18506;20.04.1992
W2301N18538;29.05.1975
W2301N18544;05.04.1981
W2301N18567;30.01.1995
W2301N18569;16.06.1984
W2301N18584;28.12.1990
W2301N18585;27.09.1996
W2301N18586;14.10.1994
W2301N18611;09.11.1988
W2301N18629;05.07.1990
W2301N18635;20.11.2000
W2301N18670;29.07.1976
W2301N18679;18.04.2001
W2301N18685;16.07.1994
W2301N18689;03.12.1985
W2301N18761;04.06.1992
W2301N18794;30.04.1986
W2301N18795;28.04.1992
W2301N18820;07.04.1984
W2301N18884;07.03.1982
W2301N18940;12.08.1987
W2301N18946;18.08.1987
W2301N19145;09.05.1979
W2301N19146;23.06.1995
W2301N19190;02.03.1999
W2301N19191;30.04.1992
W2301N19207;18.01.2000
W2301N19217;04.11.1994
W2301N19223;04.08.1993
W2301N19318;23.06.1987
W2301N19359;30.07.1986
W2301N19382;16.07.1989
W2301N19557;14.09.1982
W2301N19595;17.06.1988
W2301N19617;23.08.1985
W2301N19641;16.10.1984
W2301N19693;03.08.1968
W2301N19696;30.09.1967
W2301N19699;28.01.1987
W2301N19732;26.08.1984
W2301N19748;05.06.1990
W2301N19819;17.08.1985
W2301N19822;13.05.1989
W2301N19826;05.08.1995
W2301N19827;28.05.1984
W2301N19855;28.10.1993
W2301N19856;24.01.1980
W2301N19857;03.07.1990
W2301N19860;23.10.1998
W2301N19894;20.06.1978
W2301N19920;21.07.1975
W2301N19942;23.07.1996
W2301N19962;15.10.1994
W2301N19986;28.05.1992
W2301N20024;17.07.1989
W2301N20025;12.01.1988
W2301N20081;20.11.1979
W2301N20082;19.11.1975
W2301N20129;02.05.1996
W2301N20130;20.08.1988
W2301N20196;08.04.1989
W2301N20198;18.10.1999
W2301N20213;25.04.1993
W2301N20253;13.05.1998
W2301N20329;10.02.2002
W2301N20334;03.07.2002
W2301N20469;29.12.1983
W2301N20498;21.02.1984
W2301N20666;29.10.1987
W2301N20713;19.07.1997
